time,power,shaded_substrings
93504,8.66811243481027,0
93696,8.66811243481027,0
93888,8.66811243481027,0
94080,8.66811243481027,0
94272,8.66811243481027,0
94464,8.66811243481027,0
94656,8.66811243481027,0
94848,8.66811243481027,0
95040,8.66811243481027,0
95232,8.66811243481027,0
95424,8.66811243481027,0
95616,8.66811243481027,0
95808,8.66811243481027,0
96000,8.66811243481027,0
96192,8.66811243481027,0
96384,8.66811243481027,0
96576,8.66811243481027,0
96768,8.66811243481027,0
96960,8.66811243481027,0
97152,8.66811243481027,0
97344,8.66811243481027,0
97536,8.66811243481027,0
97728,8.66811243481027,0
97920,8.66811243481027,0
98112,8.66811243481027,0
98304,8.66811243481027,0
98496,8.66811243481027,0
98688,8.66811243481027,0
98880,8.66811243481027,0
99072,8.66811243481027,0
99264,8.66811243481027,0
99456,8.66811243481027,0
99648,8.66811243481027,0
99840,8.66811243481027,0
100032,8.66811243481027,0
100224,8.66811243481027,0
100416,8.66811243481027,0
100608,8.66811243481027,0
100800,8.66811243481027,0
100992,8.66811243481027,0
101184,8.66811243481027,0
101376,8.66811243481027,0
101568,8.66811243481027,0
101760,8.66811243481027,0
101952,8.66811243481027,0
102144,8.66811243481027,0
102336,8.66811243481027,0
102528,8.66811243481027,0
102720,8.66811243481027,0
102912,8.66811243481027,0
103104,8.66811243481027,0
103296,8.66811243481027,0
103488,8.66811243481027,0
103680,8.66811243481027,0
103872,8.66811243481027,0
104064,8.66811243481027,0
104256,8.66811243481027,0
104448,8.66811243481027,0
104640,8.66811243481027,0
104832,8.66811243481027,0
105024,8.66811243481027,0
105216,8.66811243481027,0
105408,8.66811243481027,0
105600,8.66811243481027,0
105792,8.66811243481027,0
105984,8.66811243481027,0
106176,8.66811243481027,0
106368,8.66811243481027,0
106560,8.66811243481027,0
106752,8.66811243481027,0
106944,8.66811243481027,0
107136,8.66811243481027,0
107328,8.66811243481027,0
107520,8.66811243481027,0
107712,8.66811243481027,0
107904,8.66811243481027,0
108096,8.66811243481027,0
108288,8.66811243481027,0
108480,8.66811243481027,0
108672,8.66811243481027,0
108864,8.66811243481027,0
109056,8.66811243481027,0
109248,8.66811243481027,0
109440,8.66811243481027,0
109632,8.66811243481027,0
109824,8.66811243481027,0
110016,8.66811243481027,0
110208,8.66811243481027,0
110400,8.66811243481027,0
110592,8.66811243481027,0
110784,8.66811243481027,0
110976,8.66811243481027,0
111168,8.66811243481027,0
111360,8.66811243481027,0
111552,8.66811243481027,0
111744,8.66811243481027,0
111936,8.66811243481027,0
112128,8.66811243481027,0
112320,8.66811243481027,0
112512,8.66811243481027,0
112704,8.66811243481027,0
112896,8.66811243481027,0
113088,8.66811243481027,0
113280,8.66811243481027,0
113472,8.66811243481027,0
113664,8.66811243481027,0
113856,8.66811243481027,0
114048,8.66811243481027,0
114240,8.66811243481027,0
114432,8.66811243481027,0
114624,8.66811243481027,0
114816,8.66811243481027,0
115008,8.66811243481027,0
115200,8.66811243481027,0
115392,8.66811243481027,0
115584,8.66811243481027,0
115776,8.66811243481027,0
115968,8.66811243481027,0
116160,8.66811243481027,0
116352,8.66811243481027,0
116544,8.66811243481027,0
116736,8.66811243481027,0
116928,8.66811243481027,0
117120,8.66811243481027,0
117312,8.66811243481027,0
117504,8.66811243481027,0
117696,8.66811243481027,0
117888,8.66811243481027,0
118080,8.66811243481027,0
118272,8.66811243481027,0
118464,8.66811243481027,0
118656,8.66811243481027,0
118848,8.66811243481027,0
119040,8.66811243481027,0
119232,8.66811243481027,0
119424,8.66811243481027,0
119616,8.66811243481027,0
119808,8.66811243481027,0
120000,8.66811243481027,0
120192,8.66811243481027,0
120384,8.66811243481027,0
120576,8.66811243481027,0
120768,8.66811243481027,0
120960,8.66811243481027,0
121152,8.66811243481027,0
121344,8.66811243481027,0
121536,8.66811243481027,0
121728,8.66811243481027,0
121920,8.66811243481027,0
122112,8.66811243481027,0
122304,8.66811243481027,0
122496,8.66811243481027,0
122688,8.66811243481027,0
122880,8.66811243481027,0
123072,8.66811243481027,0
123264,8.66811243481027,0
123456,8.66811243481027,0
123648,8.66811243481027,0
123840,8.66811243481027,0
124032,8.66811243481027,0
124224,8.66811243481027,0
124416,8.66811243481027,0
124608,8.66811243481027,0
124800,8.66811243481027,0
124992,8.66811243481027,0
125184,8.66811243481027,0
125376,8.66811243481027,0
125568,8.66811243481027,0
125760,8.66811243481027,0
125952,8.66811243481027,0
126144,8.66811243481027,0
126336,8.66811243481027,0
126528,8.66811243481027,0
126720,8.66811243481027,0
126912,8.66811243481027,0
127104,8.66811243481027,0
127296,8.66811243481027,0
127488,8.66811243481027,0
127680,8.66811243481027,0
127872,8.66811243481027,0
128064,8.66811243481027,0
128256,8.66811243481027,0
128448,8.66811243481027,0
128640,8.66811243481027,0
128832,8.66811243481027,0
129024,8.66811243481027,0
129216,8.66811243481027,0
129408,8.66811243481027,0
129600,8.66811243481027,0
129792,8.66811243481027,0
129984,8.66811243481027,0
130176,8.66811243481027,0
130368,8.66811243481027,0
130560,8.66811243481027,0
130752,8.66811243481027,0
130944,8.66811243481027,0
131136,8.66811243481027,0
131328,8.66811243481027,0
131520,8.66811243481027,0
131712,8.66811243481027,0
131904,8.66811243481027,0
132096,8.66811243481027,0
132288,8.66811243481027,0
132480,8.66811243481027,0
132672,8.66811243481027,0
132864,8.66811243481027,0
133056,8.66811243481027,0
133248,8.66811243481027,0
133440,8.66811243481027,0
133632,8.66811243481027,0
133824,8.66811243481027,0
134016,8.66811243481027,0
134208,8.66811243481027,0
134400,8.66811243481027,0
134592,8.66811243481027,0
134784,8.66811243481027,0
134976,8.66811243481027,0
135168,8.66811243481027,0
135360,8.66811243481027,0
135552,8.66811243481027,0
135744,8.66811243481027,0
135936,8.66811243481027,0
136128,8.66811243481027,0
136320,8.66811243481027,0
136512,8.66811243481027,0
136704,8.66811243481027,0
136896,8.66811243481027,0
137088,8.66811243481027,0
137280,8.66811243481027,0
137472,8.66811243481027,0
137664,8.66811243481027,0
137856,8.66811243481027,0
138048,8.66811243481027,0
138240,8.66811243481027,0
138432,8.66811243481027,0
138624,8.66811243481027,0
138816,8.66811243481027,0
139008,8.66811243481027,0
