cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47
0.0,507.076,811.3216,811.3216,811.3216,811.3216,0.0,507.076,811.3216,811.3216,811.3216,811.3216,0.0,659.1988,811.3216,811.3216,811.3216,811.3216,50.7076,709.9064,811.3216,811.3216,811.3216,811.3216,354.9532,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216,811.3216
0.0,455.8776,810.449,810.449,810.449,810.449,0.0,607.8367,810.449,810.449,810.449,810.449,50.65306,709.1428,810.449,810.449,810.449,810.449,0.0,759.7959,810.449,810.449,810.449,810.449,151.9592,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449,810.449
0.0,404.7769,809.5538,809.5538,809.5538,809.5538,0.0,556.5682,809.5538,809.5538,809.5538,809.5538,0.0,657.7625,809.5538,809.5538,809.5538,809.5538,101.1942,809.5538,809.5538,809.5538,809.5538,809.5538,354.1798,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538,809.5538
0.0,555.9377,808.6367,808.6367,808.6367,808.6367,0.0,657.0173,808.6367,808.6367,808.6367,808.6367,101.0796,707.5571,808.6367,808.6367,808.6367,808.6367,50.53979,758.0969,808.6367,808.6367,808.6367,808.6367,202.1592,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367,808.6367
0.0,504.8109,807.6974,807.6974,807.6974,807.6974,0.0,656.2542,807.6974,807.6974,807.6974,807.6974,50.48109,656.2542,807.6974,807.6974,807.6974,807.6974,50.48109,757.2163,807.6974,807.6974,807.6974,807.6974,353.3676,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974,807.6974
0.0,655.473,806.736,806.736,806.736,806.736,0.0,554.631,806.736,806.736,806.736,806.736,0.0,806.736,806.736,806.736,806.736,806.736,50.421,806.736,806.736,806.736,806.736,806.736,453.789,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736,806.736
0.0,654.6737,805.7523,805.7523,805.7523,805.7523,0.0,553.9547,805.7523,805.7523,805.7523,805.7523,0.0,755.3928,805.7523,805.7523,805.7523,805.7523,151.0786,805.7523,805.7523,805.7523,805.7523,805.7523,151.0786,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523,805.7523
0.0,653.8566,804.7466,804.7466,804.7466,804.7466,0.0,704.1533,804.7466,804.7466,804.7466,804.7466,50.29667,804.7466,804.7466,804.7466,804.7466,804.7466,100.5933,804.7466,804.7466,804.7466,804.7466,804.7466,502.9666,804.7466,804.7466,804.7466,804.7466,804.7466,754.45,804.7466,804.7466,804.7466,804.7466,804.7466,804.7466,804.7466,804.7466,804.7466,804.7466,804.7466,804.7466,804.7466,804.7466,804.7466,804.7466,804.7466
0.0,703.254,803.7189,803.7189,803.7189,803.7189,0.0,753.4865,803.7189,803.7189,803.7189,803.7189,50.23243,753.4865,803.7189,803.7189,803.7189,803.7189,50.23243,803.7189,803.7189,803.7189,803.7189,803.7189,502.3243,803.7189,803.7189,803.7189,803.7189,803.7189,703.254,803.7189,803.7189,803.7189,803.7189,803.7189,803.7189,803.7189,803.7189,803.7189,803.7189,803.7189,803.7189,803.7189,803.7189,803.7189,803.7189,803.7189
0.0,802.6692,802.6692,802.6692,802.6692,802.6692,0.0,702.3356,802.6692,802.6692,802.6692,802.6692,0.0,802.6692,802.6692,802.6692,802.6692,802.6692,100.3336,802.6692,802.6692,802.6692,802.6692,802.6692,351.1678,802.6692,802.6692,802.6692,802.6692,802.6692,652.1687,802.6692,802.6692,802.6692,802.6692,802.6692,802.6692,802.6692,802.6692,802.6692,802.6692,802.6692,802.6692,802.6692,802.6692,802.6692,802.6692,802.6692
